                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4982,                0.82424,                 1.3929,                0.83914,                0.78178,                0.86303,                 0.4966,                  1.462,                0.75258,                 1.3473,               0.008878,               0.008878,               0.008878
                     37,                 1.5067,                 0.8233,                 1.4029,                0.82142,                0.78939,                0.85232,                0.49105,                  1.456,                0.75046,                 1.3456,               0.008845,               0.008845,               0.008845
                     38,                 1.5101,                0.82601,                 1.3934,                0.82798,                0.79282,                0.85429,                0.49388,                 1.4641,                0.75003,                   1.35,               0.008812,               0.008812,               0.008812
                     39,                  1.497,                0.81707,                 1.3887,                0.83255,                0.79523,                0.86198,                0.49546,                 1.4614,                0.74642,                 1.3475,               0.008779,               0.008779,               0.008779
                     40,                 1.4966,                0.81481,                 1.3872,                0.81876,                0.80337,                0.86017,                0.49406,                  1.463,                0.74886,                 1.3448,               0.008746,               0.008746,               0.008746
                     41,                 1.4892,                 0.8107,                 1.3872,                0.82596,                0.79696,                0.86498,                0.49883,                 1.4554,                 0.7442,                 1.3422,               0.008713,               0.008713,               0.008713
                     42,                 1.4928,                0.81315,                 1.3892,                0.83736,                0.80283,                0.86267,                0.49567,                 1.4603,                0.74148,                 1.3449,                0.00868,                0.00868,                0.00868
                     43,                 1.4932,                0.81241,                 1.3838,                0.83968,                0.80842,                 0.8686,                0.50082,                 1.4509,                0.73778,                 1.3411,               0.008647,               0.008647,               0.008647
                     44,                 1.4873,                 0.8102,                 1.3874,                0.84241,                0.79189,                0.86437,                0.50017,                 1.4483,                0.73451,                 1.3412,               0.008614,               0.008614,               0.008614
                     45,                 1.4831,                0.80231,                  1.384,                0.83775,                0.80421,                0.86565,                0.50228,                 1.4355,                0.73784,                 1.3353,               0.008581,               0.008581,               0.008581
                     46,                 1.4849,                0.79947,                 1.3772,                0.83363,                0.79696,                0.86712,                 0.5041,                 1.4373,                 0.7289,                 1.3344,               0.008548,               0.008548,               0.008548
                     47,                 1.4875,                0.80295,                 1.3776,                0.83361,                0.80525,                0.86489,                0.50007,                 1.4493,                0.73686,                 1.3407,               0.008515,               0.008515,               0.008515
                     48,                 1.4823,                0.80212,                 1.3803,                0.84264,                0.80421,                0.86721,                0.50403,                  1.439,                0.72985,                 1.3344,               0.008482,               0.008482,               0.008482
                     49,                 1.4843,                0.80113,                  1.379,                0.83966,                0.79972,                0.87029,                0.50448,                 1.4427,                0.72806,                 1.3371,               0.008449,               0.008449,               0.008449
                     50,                 1.4792,                0.79312,                  1.379,                0.84276,                0.80318,                0.87022,                0.50641,                 1.4404,                0.72254,                 1.3344,               0.008416,               0.008416,               0.008416
                     51,                  1.475,                0.79881,                 1.3711,                0.83458,                0.80905,                0.86676,                0.50514,                 1.4417,                0.72239,                 1.3334,               0.008383,               0.008383,               0.008383
                     52,                 1.4711,                0.78899,                 1.3647,                0.83808,                0.80387,                0.86887,                0.50819,                  1.434,                0.71797,                 1.3304,                0.00835,                0.00835,                0.00835
                     53,                 1.4706,                0.78907,                 1.3716,                0.83405,                0.81492,                0.86963,                0.50627,                 1.4347,                0.72137,                 1.3295,               0.008317,               0.008317,               0.008317
                     54,                 1.4679,                0.79151,                 1.3673,                0.83157,                0.81457,                0.87014,                0.50796,                 1.4323,                0.71805,                 1.3291,               0.008284,               0.008284,               0.008284
                     55,                 1.4777,                0.79376,                 1.3686,                0.83938,                0.80663,                0.87238,                0.50883,                  1.433,                0.71656,                 1.3275,               0.008251,               0.008251,               0.008251
                     56,                 1.4677,                0.78607,                 1.3648,                0.85932,                0.80364,                0.87146,                0.51071,                 1.4304,                0.71185,                 1.3281,               0.008218,               0.008218,               0.008218
                     57,                 1.4659,                0.78063,                 1.3655,                0.85004,                0.80767,                0.87138,                0.50778,                 1.4392,                0.71581,                 1.3324,               0.008185,               0.008185,               0.008185
                     58,                 1.4604,                0.78255,                 1.3659,                0.84045,                0.81112,                0.87031,                0.50873,                 1.4318,                 0.7178,                 1.3286,               0.008152,               0.008152,               0.008152
                     59,                 1.4586,                0.77631,                 1.3637,                0.84734,                0.80628,                0.87487,                0.51005,                  1.428,                0.71154,                 1.3253,               0.008119,               0.008119,               0.008119
                     60,                 1.4709,                0.78122,                 1.3605,                0.84373,                0.80166,                0.87281,                0.50921,                 1.4355,                 0.7148,                 1.3309,               0.008086,               0.008086,               0.008086
                     61,                 1.4668,                0.77685,                  1.358,                0.83983,                0.81296,                0.87443,                0.51049,                 1.4336,                0.71185,                 1.3296,               0.008053,               0.008053,               0.008053
                     62,                 1.4584,                0.77736,                 1.3613,                0.83923,                0.81836,                0.87483,                0.51377,                 1.4277,                0.70983,                 1.3252,                0.00802,                0.00802,                0.00802
                     63,                 1.4583,                0.77878,                 1.3584,                0.83703,                0.81939,                0.87543,                0.51494,                  1.425,                 0.7068,                 1.3237,               0.007987,               0.007987,               0.007987
                     64,                 1.4492,                0.77129,                 1.3537,                0.84337,                0.81423,                0.87505,                0.51263,                 1.4248,                 0.7057,                 1.3217,               0.007954,               0.007954,               0.007954
                     65,                 1.4528,                0.76754,                 1.3512,                0.84303,                0.81782,                 0.8759,                0.51514,                 1.4253,                 0.7021,                 1.3214,               0.007921,               0.007921,               0.007921
                     66,                 1.4579,                0.77906,                 1.3614,                0.84693,                  0.812,                0.87643,                0.51557,                 1.4265,                0.70111,                  1.321,               0.007888,               0.007888,               0.007888
                     67,                 1.4569,                0.77341,                 1.3632,                0.84677,                0.81146,                0.87722,                0.51596,                 1.4262,                0.69984,                  1.322,               0.007855,               0.007855,               0.007855
                     68,                 1.4571,                0.77089,                 1.3588,                0.84154,                0.81112,                 0.8738,                0.51515,                 1.4231,                0.70403,                 1.3196,               0.007822,               0.007822,               0.007822
                     69,                 1.4582,                0.77062,                 1.3549,                0.84656,                0.81155,                 0.8751,                0.51599,                 1.4231,                0.69945,                 1.3203,               0.007789,               0.007789,               0.007789
                     70,                 1.4526,                 0.7696,                 1.3597,                0.83902,                0.82355,                0.87736,                 0.5157,                 1.4233,                0.70046,                 1.3189,               0.007756,               0.007756,               0.007756
                     71,                 1.4487,                0.76392,                 1.3533,                 0.8439,                0.81664,                0.87784,                0.51617,                 1.4208,                0.70028,                 1.3181,               0.007723,               0.007723,               0.007723
                     72,                 1.4493,                0.76649,                 1.3514,                0.83926,                0.81853,                0.87742,                0.51676,                 1.4222,                0.69999,                 1.3178,                0.00769,                0.00769,                0.00769
                     73,                 1.4455,                0.76524,                 1.3484,                0.83776,                0.82079,                0.87643,                0.51757,                 1.4169,                0.69968,                 1.3149,               0.007657,               0.007657,               0.007657
                     74,                 1.4412,                0.76489,                 1.3492,                0.82938,                0.82919,                0.87676,                0.51642,                 1.4149,                0.69577,                 1.3139,               0.007624,               0.007624,               0.007624
                     75,                 1.4347,                0.76076,                 1.3447,                0.82852,                0.82735,                 0.8775,                 0.5182,                 1.4118,                0.69629,                 1.3123,               0.007591,               0.007591,               0.007591
                     76,                 1.4441,                0.76663,                  1.349,                0.84836,                0.80836,                0.87791,                0.51775,                 1.4142,                0.69462,                 1.3146,               0.007558,               0.007558,               0.007558
                     77,                 1.4367,                0.75881,                  1.349,                0.84514,                0.81457,                0.87841,                0.51674,                 1.4158,                0.69265,                 1.3127,               0.007525,               0.007525,               0.007525
                     78,                 1.4405,                0.76106,                 1.3492,                0.84287,                 0.8125,                0.87776,                0.51837,                 1.4135,                0.69142,                 1.3128,               0.007492,               0.007492,               0.007492
                     79,                 1.4337,                 0.7569,                 1.3392,                0.84911,                0.81225,                0.88175,                0.52048,                 1.4121,                0.69121,                  1.312,               0.007459,               0.007459,               0.007459
                     80,                 1.4468,                0.76105,                 1.3466,                0.84675,                0.81664,                0.88011,                0.52259,                 1.4098,                 0.6913,                 1.3113,               0.007426,               0.007426,               0.007426
                     81,                 1.4359,                0.75603,                  1.345,                0.85292,                0.82098,                0.88073,                 0.5214,                  1.407,                0.69038,                 1.3095,               0.007393,               0.007393,               0.007393
                     82,                 1.4412,                0.75676,                 1.3469,                0.84961,                0.81739,                0.87693,                0.52171,                  1.407,                0.69212,                 1.3093,                0.00736,                0.00736,                0.00736
                     83,                  1.434,                0.74754,                 1.3364,                0.84687,                0.82079,                0.87926,                0.52174,                 1.4063,                0.68841,                 1.3094,               0.007327,               0.007327,               0.007327
                     84,                 1.4372,                0.75666,                 1.3433,                0.84321,                0.82265,                0.87833,                0.52075,                 1.4076,                0.68873,                 1.3095,               0.007294,               0.007294,               0.007294
                     85,                 1.4336,                0.75258,                 1.3461,                0.84547,                 0.8239,                0.88044,                0.52226,                  1.408,                0.68705,                 1.3107,               0.007261,               0.007261,               0.007261
                     86,                 1.4302,                0.74801,                 1.3409,                 0.8514,                0.81802,                0.87981,                0.52235,                  1.407,                0.68557,                 1.3094,               0.007228,               0.007228,               0.007228
                     87,                  1.435,                0.74468,                 1.3403,                0.85718,                 0.8145,                0.88032,                0.52239,                 1.4071,                0.68458,                 1.3088,               0.007195,               0.007195,               0.007195
                     88,                 1.4213,                0.74756,                 1.3346,                0.84487,                0.82182,                 0.8813,                0.52309,                 1.4051,                0.68403,                 1.3072,               0.007162,               0.007162,               0.007162
                     89,                 1.4264,                0.75079,                 1.3349,                0.84605,                0.82167,                 0.8808,                0.52271,                 1.4028,                0.68323,                 1.3055,               0.007129,               0.007129,               0.007129
                     90,                 1.4242,                0.74537,                 1.3351,                0.85537,                0.81687,                0.88075,                0.52333,                  1.401,                0.68254,                 1.3041,               0.007096,               0.007096,               0.007096
                     91,                 1.4192,                0.74613,                 1.3366,                0.85463,                0.81812,                0.88102,                0.52464,                 1.3996,                0.68217,                 1.3033,               0.007063,               0.007063,               0.007063
                     92,                 1.4233,                0.74223,                 1.3342,                0.85328,                0.81529,                 0.8798,                0.52418,                 1.3987,                0.68116,                 1.3021,                0.00703,                0.00703,                0.00703
                     93,                 1.4166,                0.74366,                 1.3326,                0.84993,                0.81802,                0.88072,                 0.5246,                 1.3974,                0.68058,                 1.3012,               0.006997,               0.006997,               0.006997
                     94,                 1.4189,                0.74031,                  1.333,                 0.8444,                0.82074,                0.88072,                0.52485,                 1.3969,                0.67849,                 1.3014,               0.006964,               0.006964,               0.006964
                     95,                 1.4205,                0.73889,                 1.3341,                  0.848,                0.81733,                 0.8795,                 0.5254,                 1.3964,                0.67737,                 1.3019,               0.006931,               0.006931,               0.006931
                     96,                 1.4101,                 0.7344,                 1.3314,                0.85022,                0.81664,                0.88049,                0.52563,                 1.3955,                0.67682,                 1.3021,               0.006898,               0.006898,               0.006898
                     97,                 1.3994,                0.73008,                 1.3247,                0.84522,                0.82044,                0.88152,                  0.526,                  1.395,                0.67578,                  1.302,               0.006865,               0.006865,               0.006865
                     98,                 1.4026,                0.73631,                 1.3248,                0.85052,                0.81768,                 0.8829,                0.52666,                  1.393,                0.67376,                 1.3013,               0.006832,               0.006832,               0.006832
                     99,                 1.3941,                0.72998,                 1.3198,                0.84532,                0.82464,                0.88286,                0.52656,                 1.3926,                0.67258,                 1.3006,               0.006799,               0.006799,               0.006799
                    100,                 1.3952,                0.73077,                 1.3187,                0.84485,                0.82597,                0.88342,                0.52722,                 1.3915,                0.67061,                    1.3,               0.006766,               0.006766,               0.006766
                    101,                 1.3813,                0.72835,                 1.3218,                0.84827,                0.82286,                0.88356,                0.52766,                 1.3894,                0.66966,                 1.2989,               0.006733,               0.006733,               0.006733
                    102,                 1.3833,                0.72458,                 1.3203,                0.84673,                0.82459,                0.88394,                0.52802,                 1.3876,                0.66849,                 1.2976,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.3823,                0.72809,                 1.3176,                0.84757,                0.82754,                0.88392,                0.52767,                 1.3858,                0.66843,                 1.2967,               0.006667,               0.006667,               0.006667
                    104,                 1.3789,                0.72225,                 1.3125,                0.85077,                0.82355,                0.88479,                0.52715,                 1.3849,                0.66816,                 1.2966,               0.006634,               0.006634,               0.006634
