                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.5393,                  5.223,                 3.2798,                      0,                      0,                      0,                      0,                 3.1896,                 5.0119,                 3.5743,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.9713,                 5.2372,                 3.2781,                      0,                      0,                      0,                      0,                  3.195,                 5.0152,                 3.5815,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.9477,                 5.3598,                 3.5553,                      0,                      0,                      0,                      0,                  3.195,                 5.0152,                 3.5815,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 2.4924,                 5.2793,                 3.3451,                      0,                      0,                      0,                      0,                 3.1818,                 5.0187,                 3.5965,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 2.9448,                 5.2531,                 3.5563,                      0,                      0,                      0,                      0,                 3.1818,                 5.0187,                 3.5965,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.8252,                 5.1567,                 3.9615,                      0,                      0,                      0,                      0,                 3.1762,                 5.0209,                 3.6019,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                  2.635,                 5.3647,                 3.1183,                      0,                      0,                      0,                      0,                 3.1762,                 5.0209,                 3.6019,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.6314,                 5.2086,                 3.3696,                      0,                      0,                      0,                      0,                 3.1946,                 5.0436,                 3.6231,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.7045,                 5.2397,                 3.4505,                      0,                      0,                      0,                      0,                 3.1946,                 5.0436,                 3.6231,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.5306,                 5.3023,                   3.11,                      0,                      0,                      0,                      0,                 3.1849,                 5.0646,                 3.6378,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.7092,                 5.3821,                 3.0072,                      0,                      0,                      0,                      0,                 3.1849,                 5.0646,                 3.6378,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.8992,                 5.7104,                 2.5772,                      0,                      0,                      0,                      0,                 3.2036,                 5.0809,                 3.6515,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.9203,                 5.0929,                 3.6352,                      0,                      0,                      0,                      0,                 3.2036,                 5.0809,                 3.6515,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.5111,                  5.309,                 3.3375,                      0,                      0,                      0,                      0,                 3.1967,                 5.0884,                 3.6646,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.4285,                  5.285,                 2.9471,                      0,                      0,                      0,                      0,                 3.1967,                 5.0884,                 3.6646,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 2.5143,                 5.3754,                  3.045,                      0,                      0,                      0,                      0,                 3.1559,                 5.0931,                 3.6769,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                 2.1515,                 5.2958,                 3.0651,                      0,                      0,                      0,                      0,                 3.1559,                 5.0931,                 3.6769,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 2.5198,                  5.507,                 2.7998,                      0,                      0,                      0,                      0,                 3.1559,                 5.0931,                 3.6769,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 2.0538,                 5.0145,                 2.9967,                      0,                      0,                      0,                      0,                 3.1036,                 5.0838,                 3.6599,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 2.4804,                 5.2237,                 2.9368,                      0,                      0,                      0,                      0,                 3.1036,                 5.0838,                 3.6599,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 2.7494,                 5.3766,                 3.0082,                      0,                      0,                      0,                      0,                 3.1036,                 5.0838,                 3.6599,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 2.3266,                 5.6855,                 2.7136,                      0,                      0,                      0,                      0,                 3.0627,                 5.0867,                 3.6443,             2.9695e-05,             2.9695e-05,             2.9695e-05
